country,date,new_tests,tests_cumulative,jhu_ID,source,country_name_id
Senegal,2020-03-27,144,866,Senegal,http://www.sante.gouv.sn/,Senegal
Senegal,2020-03-28,98,964,Senegal,http://www.sante.gouv.sn/,Senegal
Senegal,2020-03-29,151,1115,Senegal,http://www.sante.gouv.sn/sites/default/files/COMMUNIQUE%2028%20%20DU%2029%20MARS%202020pdf.pdf,Senegal
Senegal,2020-03-30,87,1202,Senegal,http://www.sante.gouv.sn/sites/default/files/COMMUNIQUE%2029%20DU%2030%20MARS%202020.pdf,Senegal
Senegal,2020-03-31,97,1299,Senegal,http://www.sante.gouv.sn/sites/default/files/COMMUNIQUE%2030%20DU%2031%20MARS%202020.pdf,Senegal
Senegal,2020-04-01,195,1494,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-02,127,1621,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-03,153,1774,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-04,177,1951,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-05,92,2043,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-06,95,2138,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-07,110,2248,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-08,108,2356,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-09,199,2555,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-10,195,2750,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-11,173,2923,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-12,104,3027,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-13,144,3171,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-14,272,3443,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-15,227,3670,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-16,435,4105,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-17,287,4392,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-18,226,4618,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-19,313,4931,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-20,281,5212,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-21,466,5678,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-22,482,6160,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-23,387,6547,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-24,528,7075,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-25,703,7778,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-26,579,8357,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-27,677,9034,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-28,873,9907,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-29,800,10707,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-04-30,1161,11868,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-05-01,901,12769,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-05-02,1190,13959,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-05-03,810,14769,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-05-04,807,15576,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-05-05,702,16278,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-05-06,1182,17460,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-05-07,521,17981,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-05-08,3111,21092,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-05-09,848,21940,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-05-10,1356,23296,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-05-11,69,23365,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-05-12,1099,24464,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-05-13,920,25384,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-05-14,0,25384,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-05-15,0,25384,Senegal,http://www.sante.gouv.sn/sites/default/files/Communiqu_%20N%C2%8D31%20du%2001%20avril%202020.pdf,Senegal
Senegal,2020-05-16,3010,28394,Senegal,https://africacdc.org/covid-19/,Senegal
Senegal,2020-05-17,0,28394,Senegal,https://africacdc.org/covid-19/,Senegal
Senegal,2020-05-18,0,28394,Senegal,https://africacdc.org/covid-19/,Senegal
Senegal,2020-05-19,826,29220,Senegal,https://africacdc.org/covid-19/,Senegal
Senegal,2020-05-20,0,29220,Senegal,https://africacdc.org/covid-19/,Senegal
Senegal,2020-05-21,0,29220,Senegal,https://africacdc.org/covid-19/,Senegal
Senegal,2020-05-22,0,29220,Senegal,https://africacdc.org/covid-19/,Senegal
Senegal,2020-05-23,0,29220,Senegal,https://africacdc.org/covid-19/,Senegal
