date,ja,en,count,regions,lat,lng
2020-02-26,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-27,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-28,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-29,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-03-01,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-03-02,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-03-03,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-03-04,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-03-05,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-03-06,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-03-07,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-03-08,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-03-09,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-03-10,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-03-11,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-03-12,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-03-13,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
2020-03-14,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
2020-03-15,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
2020-03-16,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
2020-03-17,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
2020-03-18,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
2020-03-19,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
2020-03-20,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
2020-03-21,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
2020-03-22,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
2020-03-23,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
2020-03-24,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
2020-03-25,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
2020-03-26,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
2020-03-27,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
2020-03-28,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
2020-03-29,佐賀,Saga Prefecture,1,7,33.28527778,130.1169444
