date,tests,confirmed,deaths,recovered,hosp,vent,icu,severe,population,administrative_area_level,administrative_area_level_1,administrative_area_level_2,jis_code
2020-09-08,1622149,72859,1397,63263,7555,,,202,126216142,1,Japan,,
2020-09-09,1637723,73367,1411,64083,7215,,,202,126216142,1,Japan,,
2020-09-10,1662091,74079,1418,64820,6959,,,198,126216142,1,Japan,,
2020-09-11,1685711,74721,1427,65576,6884,,,191,126216142,1,Japan,,
2020-09-12,1703734,75367,1440,66269,6814,,,190,126216142,1,Japan,,
2020-09-13,1715960,75806,1446,66839,6892,,,180,126216142,1,Japan,,
2020-09-14,1718055,76072,1453,67206,6962,,,185,126216142,1,Japan,,
2020-09-15,1745311,76603,1466,67795,6673,,,174,126216142,1,Japan,,
2020-09-16,1766478,77154,1479,68503,6433,,,178,126216142,1,Japan,,
2020-09-17,1786342,77643,1488,69223,6267,,,167,126216142,1,Japan,,
2020-09-18,1811516,78215,1498,69865,6115,,,170,126216142,1,Japan,,
2020-09-19,1831246,78810,1502,70436,6122,,,161,126216142,1,Japan,,
2020-09-20,1842506,79290,1506,71005,6121,,,159,126216142,1,Japan,,
2020-09-21,1850661,79601,1513,71378,6230,,,163,126216142,1,Japan,,
2020-09-22,1855240,79931,1518,71614,6273,,,164,126216142,1,Japan,,
2020-09-23,1859693,80150,1524,71953,6238,,,165,126216142,1,Japan,,
2020-09-24,1888156,80632,1536,72522,5989,,,166,126216142,1,Japan,,
2020-09-25,1908707,81205,1543,73464,5465,,,163,126216142,1,Japan,,
2020-09-26,1938827,81844,1546,74132,5349,,,156,126216142,1,Japan,,
2020-09-27,1951249,82329,1549,74588,5520,,,160,126216142,1,Japan,,
2020-09-28,1957973,82631,1560,74970,5579,,,159,126216142,1,Japan,,
2020-09-29,1979929,83158,1567,75438,5459,,,161,126216142,1,Japan,,
2020-09-30,2084894,83734,1574,75998,5409,,,151,126216142,1,Japan,,
2020-10-01,2105963,84367,1582,76567,5381,,,151,126216142,1,Japan,,
2020-10-02,2125762,84909,1592,77196,5406,,,145,126216142,1,Japan,,
2020-10-03,2150084,85483,1598,77785,5365,,,137,126216142,1,Japan,,
2020-10-04,2166131,85883,1599,78293,5411,,,133,126216142,1,Japan,,
2020-10-05,2173035,86162,1603,78592,5495,,,131,126216142,1,Japan,,
2020-10-06,2196831,86662,1610,79044,5351,,,140,126216142,1,Japan,,
2020-10-07,2218653,87168,1615,79662,5225,,,141,126216142,1,Japan,,
2020-10-08,2241629,87795,1618,80212,5157,,,143,126216142,1,Japan,,
2020-10-09,2264683,88396,1624,80716,5266,,,141,126216142,1,Japan,,
2020-10-10,2286070,89074,1627,81326,5230,,,147,126216142,1,Japan,,
2020-10-11,2299045,89510,1629,81805,5414,,,145,126216142,1,Japan,,
2020-10-12,2306033,89788,1633,82093,5570,,,146,126216142,1,Japan,,
2020-10-13,2331011,90286,1637,82596,5377,,,148,126216142,1,Japan,,
2020-10-14,2352231,90838,1646,83132,5296,,,150,126216142,1,Japan,,
2020-10-15,2375927,91546,1649,83816,5188,,,146,126216142,1,Japan,,
2020-10-16,2398408,92185,1664,84429,5310,,,148,126216142,1,Japan,,
2020-10-17,2421043,92808,1670,85012,5346,,,148,126216142,1,Japan,,
2020-10-18,2433665,93239,1674,85466,5471,,,145,126216142,1,Japan,,
2020-10-19,2441150,93555,1676,85901,5498,,,144,126216142,1,Japan,,
2020-10-20,2465513,94036,1679,86473,5285,,,143,126216142,1,Japan,,
2020-10-21,2482485,94650,1686,87066,5137,,,150,126216142,1,Japan,,
2020-10-22,2506396,95266,1697,87642,5137,,,150,126216142,1,Japan,,
2020-10-23,2531971,96011,1709,88220,5172,,,151,126216142,1,Japan,,
2020-10-24,2557214,96737,1713,88762,5322,,,155,126216142,1,Japan,,
2020-10-25,2570425,97230,1719,89234,5542,,,159,126216142,1,Japan,,
2020-10-26,2581456,97640,1727,89681,5601,,,162,126216142,1,Japan,,
2020-10-27,2606199,98286,1732,90124,5600,,,165,126216142,1,Japan,,
2020-10-28,2633603,99017,1737,90784,5542,,,166,126216142,1,Japan,,
2020-10-29,2658586,99825,1747,91299,5735,,,161,126216142,1,Japan,,
2020-10-30,2681667,100600,1755,91871,5937,,,156,126216142,1,Japan,,
2020-10-31,2706168,101476,1769,92455,6106,,,161,126216142,1,Japan,,
2020-11-01,2721305,102089,1775,92939,6349,,,160,126216142,1,Japan,,
2020-11-02,2730524,102576,1787,93360,6585,,,163,126216142,1,Japan,,
2020-11-03,2755446,103441,1794,93816,6576,,,163,126216142,1,Japan,,
2020-11-04,2764092,104065,1798,94267,6737,,,165,126216142,1,Japan,,
2020-11-05,2787543,105115,1807,95091,6815,,,183,126216142,1,Japan,,
2020-11-06,2818683,106256,1811,95742,7179,,,189,126216142,1,Japan,,
2020-11-07,2846368,107589,1816,96445,7601,,,194,126216142,1,Japan,,
2020-11-08,2861548,108539,1823,97181,8022,,,196,126216142,1,Japan,,
2020-11-09,2871126,109319,1835,97630,8480,,,204,126216142,1,Japan,,
2020-11-10,2898421,110602,1850,98250,8828,,,208,126216142,1,Japan,,
2020-11-11,2924555,112146,1862,99083,9162,,,204,126216142,1,Japan,,
2020-11-12,2959574,113807,1872,99982,9791,,,226,126216142,1,Japan,,
2020-11-13,2991064,115509,1884,100995,10376,,,231,126216142,1,Japan,,
2020-11-14,3016345,117244,1887,101965,11056,,,234,126216142,1,Japan,,
2020-11-15,3035324,118683,1894,102807,11903,,,243,126216142,1,Japan,,
2020-11-16,3045924,119633,1905,103645,12499,,,251,126216142,1,Japan,,
