code,prefecture,total,first,second,category,date
24,三重県,98674,59471,39203,medical,20210521
25,滋賀県,71126,42724,28402,medical,20210521
26,京都府,133450,80917,52533,medical,20210521
27,大阪府,370588,232809,137779,medical,20210521
28,兵庫県,233097,149314,83783,medical,20210521
29,奈良県,76903,48009,28894,medical,20210521
30,和歌山県,60009,35328,24681,medical,20210521
31,鳥取県,33960,19495,14465,medical,20210521
32,島根県,45369,27862,17507,medical,20210521
33,岡山県,114049,72730,41319,medical,20210521
34,広島県,164780,99244,65536,medical,20210521
35,山口県,98275,59625,38650,medical,20210521
36,徳島県,63095,37554,25541,medical,20210521
37,香川県,56359,33520,22839,medical,20210521
38,愛媛県,96821,55591,41230,medical,20210521
39,高知県,52787,30463,22324,medical,20210521
40,福岡県,256482,165794,90688,medical,20210521
41,佐賀県,70249,41439,28810,medical,20210521
42,長崎県,96251,57758,38493,medical,20210521
43,熊本県,124767,78330,46437,medical,20210521
44,大分県,81850,47980,33870,medical,20210521
45,宮崎県,68087,39725,28362,medical,20210521
46,鹿児島県,117499,70529,46970,medical,20210521
47,沖縄県,79378,47740,31638,medical,20210521
1,北海道,313254,206716,106538,medical,20210528
2,青森県,76307,47256,29051,medical,20210528
3,岩手県,88131,50604,37527,medical,20210528
4,宮城県,135983,83554,52429,medical,20210528
5,秋田県,61725,37115,24610,medical,20210528
6,山形県,76158,44796,31362,medical,20210528
7,福島県,116110,69717,46393,medical,20210528
8,茨城県,168252,103831,64421,medical,20210528
9,栃木県,107616,63455,44161,medical,20210528
10,群馬県,119790,73969,45821,medical,20210528
11,埼玉県,364485,217373,147112,medical,20210528
12,千葉県,295847,182851,112996,medical,20210528
13,東京都,737513,439082,298431,medical,20210528
14,神奈川県,428484,258774,169710,medical,20210528
15,新潟県,128275,74293,53982,medical,20210528
16,富山県,73119,43375,29744,medical,20210528
17,石川県,79148,46070,33078,medical,20210528
18,福井県,66285,37429,28856,medical,20210528
19,山梨県,46767,29958,16809,medical,20210528
20,長野県,119998,72223,47775,medical,20210528
21,岐阜県,125702,78639,47063,medical,20210528
22,静岡県,182267,111745,70522,medical,20210528
23,愛知県,416914,245761,171153,medical,20210528
24,三重県,110218,65128,45090,medical,20210528
25,滋賀県,78779,46622,32157,medical,20210528
26,京都府,152986,91588,61398,medical,20210528
27,大阪府,418547,261035,157512,medical,20210528
28,兵庫県,263532,164233,99299,medical,20210528
29,奈良県,92181,54540,37641,medical,20210528
30,和歌山県,68056,39834,28222,medical,20210528
31,鳥取県,35878,20393,15485,medical,20210528
32,島根県,50968,31669,19299,medical,20210528
33,岡山県,131821,84431,47390,medical,20210528
34,広島県,184372,110281,74091,medical,20210528
35,山口県,116127,66468,49659,medical,20210528
36,徳島県,69163,39894,29269,medical,20210528
37,香川県,66027,39215,26812,medical,20210528
38,愛媛県,108831,62309,46522,medical,20210528
39,高知県,59009,33314,25695,medical,20210528
40,福岡県,316496,204875,111621,medical,20210528
41,佐賀県,78401,46010,32391,medical,20210528
42,長崎県,108142,63593,44549,medical,20210528
43,熊本県,138813,85298,53515,medical,20210528
44,大分県,92633,53021,39612,medical,20210528
45,宮崎県,76858,45941,30917,medical,20210528
46,鹿児島県,128823,76134,52689,medical,20210528
47,沖縄県,86091,50762,35329,medical,20210528
1,北海道,364565,230646,133919,medical,20210604
2,青森県,86880,52994,33886,medical,20210604
3,岩手県,94839,52630,42209,medical,20210604
4,宮城県,154836,91100,63736,medical,20210604
5,秋田県,69039,40879,28160,medical,20210604
6,山形県,84845,48395,36450,medical,20210604
7,福島県,135974,77667,58307,medical,20210604
8,茨城県,188070,112541,75529,medical,20210604
9,栃木県,120110,67783,52327,medical,20210604
10,群馬県,133371,80590,52781,medical,20210604
11,埼玉県,407058,234491,172567,medical,20210604
12,千葉県,334840,202019,132821,medical,20210604
13,東京都,814955,469872,345083,medical,20210604
14,神奈川県,492038,288694,203344,medical,20210604
15,新潟県,141160,81818,59342,medical,20210604
16,富山県,79326,45526,33800,medical,20210604
17,石川県,88235,51549,36686,medical,20210604
18,福井県,73990,40693,33297,medical,20210604
19,山梨県,54095,32796,21299,medical,20210604
20,長野県,133744,77494,56250,medical,20210604
21,岐阜県,142824,86332,56492,medical,20210604
22,静岡県,202344,120178,82166,medical,20210604
23,愛知県,458287,263732,194555,medical,20210604
24,三重県,123009,70084,52925,medical,20210604
25,滋賀県,86619,51309,35310,medical,20210604
26,京都府,171473,101351,70122,medical,20210604
27,大阪府,490365,294234,196131,medical,20210604
28,兵庫県,298855,179969,118886,medical,20210604
29,奈良県,102700,57854,44846,medical,20210604
30,和歌山県,74013,42635,31378,medical,20210604
31,鳥取県,46482,26504,19978,medical,20210604
32,島根県,57061,34789,22272,medical,20210604
33,岡山県,155102,92469,62633,medical,20210604
34,広島県,204067,119343,84724,medical,20210604
35,山口県,125064,70745,54319,medical,20210604
36,徳島県,74486,42656,31830,medical,20210604
37,香川県,71546,41435,30111,medical,20210604
38,愛媛県,115868,65718,50150,medical,20210604
39,高知県,63709,35218,28491,medical,20210604
40,福岡県,365196,225874,139322,medical,20210604
41,佐賀県,83645,47762,35883,medical,20210604
42,長崎県,117726,67408,50318,medical,20210604
