日付,都道府県略称,陽性者数,検査人数
20200411,長野,28,892
20200411,岐阜,82,1182
20200411,静岡,34,1426
20200411,愛知,313,3990
20200411,三重,15,906
20200411,滋賀,34,487
20200411,京都,168,1968
20200411,大阪,697,2133
20200411,兵庫,316,3691
20200411,奈良,37,523
20200411,和歌山,33,1877
20200411,鳥取,1,299
20200411,島根,2,205
20200411,岡山,16,595
20200411,広島,25,1714
20200411,山口,17,557
20200411,徳島,3,228
20200411,香川,4,480
20200411,愛媛,28,545
20200411,高知,52,781
20200411,福岡,224,4109
20200411,佐賀,12,356
20200411,長崎,14,933
20200411,熊本,23,1693
20200411,大分,42,2070
20200411,宮崎,16,585
20200411,鹿児島,3,523
20200411,沖縄,49,680
20200412,北海道,255,2836
20200412,青森,22,313
20200412,岩手,0,136
20200412,宮城,46,660
20200412,秋田,13,491
20200412,山形,32,782
20200412,福島,37,541
20200412,茨城,91,2221
20200412,栃木,32,1003
20200412,群馬,79,1495
20200412,埼玉,345,2216
20200412,千葉,411,1743
20200412,東京,1914,5660
20200412,神奈川,465,2604
20200412,新潟,41,1587
20200412,富山,23,646
20200412,石川,104,562
20200412,福井,86,515
20200412,山梨,32,1013
20200412,長野,28,899
20200412,岐阜,91,1185
20200412,静岡,39,1426
20200412,愛知,340,3990
20200412,三重,17,906
20200412,滋賀,38,487
20200412,京都,181,1968
20200412,大阪,767,2362
20200412,兵庫,358,3830
20200412,奈良,39,539
20200412,和歌山,33,1989
20200412,鳥取,1,299
20200412,島根,6,205
20200412,岡山,16,595
20200412,広島,31,1754
20200412,山口,19,557
20200412,徳島,3,228
20200412,香川,4,480
20200412,愛媛,30,545
20200412,高知,54,814
20200412,福岡,332,4137
20200412,佐賀,12,367
20200412,長崎,14,933
20200412,熊本,23,1728
20200412,大分,42,2070
20200412,宮崎,17,612
20200412,鹿児島,4,523
20200412,沖縄,49,680
20200413,北海道,267,2836
20200413,青森,22,313
20200413,岩手,0,136
20200413,宮城,52,660
20200413,秋田,15,491
20200413,山形,34,782
20200413,福島,38,541
20200413,茨城,109,2221
20200413,栃木,35,1003
20200413,群馬,90,1495
20200413,埼玉,386,2216
20200413,千葉,455,1743
20200413,東京,2080,5660
20200413,神奈川,478,2604
20200413,新潟,42,1587
20200413,富山,30,646
20200413,石川,113,562
20200413,福井,88,515
20200413,山梨,35,1013
20200413,長野,29,899
20200413,岐阜,105,1185
20200413,静岡,41,1426
20200413,愛知,319,3990
20200413,三重,17,906
20200413,滋賀,38,487
20200413,京都,193,1968
20200413,大阪,812,2362
20200413,兵庫,375,3830
20200413,奈良,41,539
20200413,和歌山,34,1989
20200413,鳥取,1,299
20200413,島根,7,205
20200413,岡山,16,595
20200413,広島,56,1754
20200413,山口,23,557
20200413,徳島,3,228
20200413,香川,8,480
20200413,愛媛,30,545
20200413,高知,60,814
20200413,福岡,362,4137
20200413,佐賀,13,367
20200413,長崎,14,933
20200413,熊本,28,1728
20200413,大分,42,2070
20200413,宮崎,17,612
20200413,鹿児島,4,523
20200413,沖縄,66,680
20200414,北海道,272,3257
20200414,青森,22,391
20200414,岩手,0,155
20200414,宮城,54,816
20200414,秋田,15,555
20200414,山形,35,932
20200414,福島,38,701
20200414,茨城,110,2501
20200414,栃木,36,1082
20200414,群馬,91,1717
20200414,埼玉,414,2415
20200414,千葉,474,2329
20200414,東京,2171,6327
20200414,神奈川,572,3116
20200414,新潟,42,1670
20200414,富山,49,910
20200414,石川,121,718
20200414,福井,92,710
20200414,山梨,35,1157
20200414,長野,34,1068
20200414,岐阜,112,1442
20200414,静岡,46,1606
20200414,愛知,328,4201
20200414,三重,17,995
20200414,滋賀,40,552
20200414,京都,205,2225
20200414,大阪,836,3073
20200414,兵庫,384,4250
20200414,奈良,44,618
20200414,和歌山,34,2092
20200414,鳥取,1,378
20200414,島根,8,366
